latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-34.622143,-58.40909,19.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),rain (mm),surface_pressure (hPa),wind_speed_100m (km/h),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³),is_day (),pressure_msl_spread (hPa)
2025-06-17T00:00,12.8,89,11.1,0.30,0.30,1011.3,3.9,0.031,0.323,0.386,0.385,0,NaN
2025-06-17T01:00,13.6,82,10.6,0.00,0.00,1011.6,8.2,0.028,0.323,0.388,0.385,0,NaN
2025-06-17T02:00,13.4,82,10.4,0.00,0.00,1011.8,6.3,0.022,0.323,0.388,0.385,0,NaN
2025-06-17T03:00,13.1,84,10.4,0.10,0.10,1012.0,10.0,0.002,0.323,0.388,0.385,0,NaN
2025-06-17T04:00,12.8,86,10.4,0.00,0.00,1012.0,13.7,0.000,0.322,0.388,0.385,0,NaN
2025-06-17T05:00,12.5,87,10.4,0.00,0.00,1012.3,17.7,0.001,0.322,0.388,0.385,0,NaN
2025-06-17T06:00,12.3,89,10.5,0.10,0.10,1012.6,21.9,0.002,0.321,0.388,0.385,0,NaN
2025-06-17T07:00,12.0,91,10.5,0.10,0.10,1012.6,22.1,0.003,0.321,0.388,0.385,0,NaN
2025-06-17T08:00,11.8,91,10.3,0.00,0.00,1012.4,24.8,0.003,0.321,0.388,0.385,0,NaN
2025-06-17T09:00,11.6,90,10.0,0.00,0.00,1012.4,22.3,0.004,0.321,0.388,0.385,0,NaN
2025-06-17T10:00,11.0,92,9.7,0.00,0.00,1013.3,20.5,0.004,0.321,0.388,0.385,0,NaN
2025-06-17T11:00,10.3,93,9.3,0.00,0.00,1014.1,21.9,0.004,0.321,0.388,0.385,1,NaN
2025-06-17T12:00,10.2,91,8.8,0.00,0.00,1014.7,16.4,0.004,0.321,0.388,0.385,1,NaN
2025-06-17T13:00,11.4,89,9.6,0.00,0.00,1015.6,12.9,0.010,0.321,0.386,0.385,1,NaN
2025-06-17T14:00,11.8,85,9.4,0.00,0.00,1015.9,13.4,0.010,0.321,0.386,0.385,1,NaN
2025-06-17T15:00,12.4,80,9.0,0.00,0.00,1016.3,14.8,0.011,0.321,0.386,0.385,1,NaN
2025-06-17T16:00,13.3,73,8.5,0.00,0.00,1015.7,18.2,0.011,0.321,0.386,0.385,1,NaN
2025-06-17T17:00,14.4,65,7.9,0.00,0.00,1014.8,16.4,0.011,0.321,0.386,0.385,1,NaN
2025-06-17T18:00,15.0,62,7.7,0.00,0.00,1014.5,11.5,0.011,0.321,0.386,0.385,1,NaN
2025-06-17T19:00,15.0,61,7.5,0.00,0.00,1014.3,9.6,0.011,0.321,0.386,0.385,1,NaN
2025-06-17T20:00,14.7,61,7.2,0.00,0.00,1015.0,8.5,0.011,0.321,0.386,0.385,1,NaN
2025-06-17T21:00,13.9,64,7.2,0.00,0.00,1015.7,12.5,0.012,0.321,0.386,0.385,0,NaN
2025-06-17T22:00,13.2,67,7.2,0.00,0.00,1016.3,16.6,0.012,0.321,0.386,0.385,0,NaN
2025-06-17T23:00,12.3,71,7.1,0.00,0.00,1017.1,16.5,0.012,0.321,0.386,0.385,0,NaN
2025-06-18T00:00,11.4,75,7.2,0.00,0.00,1017.9,19.7,0.012,0.321,0.386,0.385,0,NaN
2025-06-18T01:00,8.9,81,5.8,0.00,0.00,1019.6,21.8,0.014,0.321,0.398,0.385,0,NaN
2025-06-18T02:00,8.4,82,5.4,0.00,0.00,1019.7,19.4,0.014,0.321,0.398,0.385,0,NaN
2025-06-18T03:00,8.0,82,5.2,0.00,0.00,1020.1,16.4,0.014,0.321,0.398,0.385,0,NaN
2025-06-18T04:00,7.7,83,5.1,0.00,0.00,1020.3,13.8,0.015,0.321,0.398,0.385,0,NaN
2025-06-18T05:00,7.3,84,4.8,0.00,0.00,1020.6,10.4,0.015,0.321,0.398,0.385,0,NaN
2025-06-18T06:00,7.0,85,4.6,0.00,0.00,1019.8,13.1,0.015,0.321,0.398,0.385,0,NaN
2025-06-18T07:00,6.7,86,4.4,0.00,0.00,1020.0,11.0,0.015,0.321,0.398,0.385,0,NaN
2025-06-18T08:00,6.3,87,4.3,0.00,0.00,1019.6,13.2,0.015,0.321,0.398,0.385,0,NaN
2025-06-18T09:00,6.1,87,4.1,0.00,0.00,1019.1,17.9,0.015,0.321,0.398,0.385,0,NaN
2025-06-18T10:00,5.7,88,3.9,0.00,0.00,1020.0,20.5,0.016,0.321,0.398,0.385,0,NaN
2025-06-18T11:00,5.5,88,3.6,0.00,0.00,1020.8,18.0,0.016,0.321,0.397,0.385,1,NaN
2025-06-18T12:00,5.8,85,3.5,0.00,0.00,1021.6,18.3,0.016,0.321,0.397,0.385,1,NaN
2025-06-18T13:00,7.1,82,4.2,0.00,0.00,1021.8,27.9,0.022,0.321,0.410,0.385,1,NaN
2025-06-18T14:00,9.5,71,4.4,0.00,0.00,1022.6,22.8,0.022,0.321,0.410,0.385,1,NaN
2025-06-18T15:00,11.8,60,4.3,0.00,0.00,1022.7,10.2,0.023,0.321,0.410,0.385,1,NaN
2025-06-18T16:00,13.6,51,3.6,0.00,0.00,1022.1,10.6,0.023,0.321,0.410,0.385,1,NaN
2025-06-18T17:00,14.8,46,3.1,0.00,0.00,1021.3,12.5,0.023,0.321,0.410,0.385,1,NaN
2025-06-18T18:00,15.4,44,3.0,0.00,0.00,1021.1,12.8,0.023,0.321,0.410,0.385,1,NaN
2025-06-18T19:00,15.4,44,3.1,0.00,0.00,1021.2,12.8,0.023,0.321,0.410,0.385,1,NaN
2025-06-18T20:00,14.9,46,3.5,0.00,0.00,1021.2,13.9,0.023,0.320,0.410,0.385,1,NaN
2025-06-18T21:00,13.8,51,4.0,0.00,0.00,1021.1,13.8,0.024,0.320,0.410,0.385,0,NaN
2025-06-18T22:00,13.1,56,4.5,0.00,0.00,1021.4,14.1,0.024,0.320,0.410,0.385,0,NaN
2025-06-18T23:00,12.4,60,4.9,0.00,0.00,1021.6,13.0,0.024,0.320,0.410,0.385,0,NaN
2025-06-19T00:00,11.8,64,5.1,0.00,0.00,1022.1,12.5,0.024,0.320,0.410,0.385,0,NaN
2025-06-19T01:00,10.7,67,4.7,0.00,0.00,1022.7,7.4,0.025,0.321,0.410,0.385,0,NaN
2025-06-19T02:00,10.4,68,4.8,0.00,0.00,1022.7,7.8,0.025,0.321,0.410,0.385,0,NaN
2025-06-19T03:00,9.5,73,4.9,0.00,0.00,1022.5,9.1,0.025,0.321,0.410,0.385,0,NaN
2025-06-19T04:00,9.0,76,4.9,0.00,0.00,1022.4,8.8,0.026,0.321,0.410,0.385,0,NaN
2025-06-19T05:00,8.5,77,4.8,0.00,0.00,1022.2,10.3,0.026,0.321,0.410,0.385,0,NaN
2025-06-19T06:00,8.2,78,4.5,0.00,0.00,1021.9,12.2,0.026,0.321,0.410,0.385,0,NaN
2025-06-19T07:00,7.8,78,4.2,0.00,0.00,1021.9,18.0,0.026,0.321,0.410,0.385,0,NaN
2025-06-19T08:00,7.5,77,3.8,0.00,0.00,1022.0,15.7,0.026,0.321,0.410,0.385,0,NaN
2025-06-19T09:00,7.0,79,3.6,0.00,0.00,1022.3,11.0,0.026,0.321,0.410,0.385,0,NaN
2025-06-19T10:00,6.5,81,3.5,0.00,0.00,1023.2,10.4,0.027,0.321,0.410,0.385,0,NaN
2025-06-19T11:00,6.2,82,3.3,0.00,0.00,1023.8,10.7,0.027,0.321,0.410,0.385,0,NaN
2025-06-19T12:00,6.4,81,3.3,0.00,0.00,1024.1,10.5,0.027,0.320,0.410,0.385,1,NaN
2025-06-19T13:00,8.2,73,3.7,0.00,0.00,1024.4,3.6,0.027,0.321,0.410,0.385,1,NaN
